iter	Passed	Remaining
541	5433	4591
542	5441	4580
543	5450	4568
544	5459	4557
545	5467	4546
546	5476	4535
547	5485	4524
548	5494	4513
549	5502	4502
550	5513	4492
551	5523	4483
552	5535	4474
553	5544	4463
554	5553	4453
555	5562	4442
556	5571	4430
557	5579	4419
558	5588	4408
559	5597	4397
560	5606	4386
561	5614	4375
562	5623	4364
563	5631	4353
564	5640	4342
565	5648	4331
566	5657	4320
567	5666	4309
568	5675	4298
569	5683	4287
570	5692	4276
571	5700	4265
572	5709	4255
573	5720	4245
574	5733	4237
575	5742	4227
576	5752	4216
577	5761	4206
578	5769	4195
579	5778	4184
580	5787	4173
581	5796	4162
582	5804	4151
583	5813	4140
584	5821	4130
585	5830	4119
586	5840	4109
587	5849	4098
588	5859	4088
589	5868	4077
590	5876	4066
591	5885	4056
592	5894	4045
593	5903	4034
594	5914	4025
595	5926	4017
596	5936	4007
597	5945	3996
598	5954	3986
599	5963	3975
600	5972	3964
601	5980	3953
602	5988	3942
603	5997	3932
604	6006	3921
605	6015	3910
606	6023	3900
607	6032	3889
608	6041	3878
609	6049	3867
610	6058	3857
611	6067	3846
612	6076	3835
613	6084	3825
614	6093	3814
615	6102	3804
616	6112	3794
617	6123	3785
618	6135	3776
619	6145	3766
620	6154	3755
621	6162	3745
622	6171	3734
623	6180	3724
624	6189	3713
625	6197	3702
626	6205	3691
627	6214	3681
628	6223	3670
629	6232	3660
630	6241	3649
631	6249	3639
632	6258	3628
633	6268	3618
634	6276	3607
635	6285	3597
636	6294	3586
637	6302	3576
638	6312	3566
639	6322	3556
640	6336	3549
641	6346	3538
642	6354	3528
643	6363	3517
644	6371	3507
645	6380	3496
646	6389	3486
647	6399	3476
648	6407	3465
649	6416	3454
650	6424	3444
651	6433	3433
652	6442	3423
653	6450	3412
654	6459	3402
655	6468	3391
656	6477	3381
657	6486	3371
658	6494	3360
659	6503	3350
660	6516	3342
661	6528	3333
662	6537	3323
663	6546	3312
664	6555	3302
665	6564	3292
666	6573	3281
667	6582	3271
668	6591	3261
669	6600	3250
670	6608	3240
671	6616	3229
672	6625	3219
673	6633	3208
674	6642	3198
675	6651	3187
676	6659	3177
677	6667	3166
678	6676	3156
679	6685	3146
680	6693	3135
681	6702	3125
682	6710	3114
683	6722	3105
684	6735	3097
685	6745	3087
686	6755	3077
687	6763	3067
688	6772	3057
689	6781	3046
690	6789	3036
691	6798	3026
692	6807	3015
693	6816	3005
694	6829	2997
695	6841	2988
696	6850	2978
697	6859	2967
698	6868	2957
699	6876	2947
700	6885	2936
701	6894	2926
702	6903	2916
703	6912	2906
704	6921	2896
705	6932	2886
706	6945	2878
707	6954	2868
708	6963	2857
709	6972	2847
710	6980	2837
711	6990	2827
712	6998	2817
713	7007	2806
714	7016	2796
715	7024	2786
716	7033	2776
717	7042	2765
718	7050	2755
719	7060	2745
720	7068	2735
721	7077	2725
722	7085	2714
723	7094	2704
724	7102	2694
725	7111	2684
726	7121	2674
727	7133	2665
728	7145	2656
729	7155	2646
730	7164	2636
731	7172	2626
732	7181	2616
733	7190	2605
734	7199	2595
735	7208	2585
736	7216	2575
737	7225	2565
738	7234	2555
739	7244	2545
740	7253	2535
741	7261	2524
742	7270	2514
743	7279	2504
744	7287	2494
745	7296	2484
746	7304	2473
747	7313	2463
748	7325	2454
749	7337	2445
750	7348	2436
751	7357	2426
752	7366	2416
753	7374	2406
754	7383	2395
755	7392	2385
756	7401	2375
757	7410	2365
758	7418	2355
759	7427	2345
760	7436	2335
761	7444	2325
762	7453	2315
763	7461	2304
764	7470	2294
765	7478	2284
766	7487	2274
767	7496	2264
768	7504	2254
769	7516	2245
770	7528	2235
771	7538	2226
772	7550	2217
773	7564	2208
774	7574	2199
775	7583	2189
776	7592	2178
777	7601	2168
778	7610	2158
779	7618	2148
780	7627	2138
781	7636	2128
782	7645	2118
783	7654	2108
784	7662	2098
785	7671	2088
786	7680	2078
787	7688	2068
788	7697	2058
789	7706	2048
790	7715	2038
791	7724	2028
792	7738	2020
793	7749	2010
794	7759	2000
795	7768	1990
796	7777	1980
797	7786	1970
798	7795	1960
799	7807	1951
800	7819	1942
801	7829	1932
802	7840	1923
803	7854	1914
804	7865	1905
805	7877	1896
806	7889	1886
807	7900	1877
808	7910	1867
809	7922	1858
810	7943	1851
811	7971	1845
812	7989	1837
813	8000	1828
814	8012	1818
815	8022	1809
816	8039	1800
817	8052	1791
818	8065	1782
819	8078	1773
820	8090	1764
821	8104	1754
822	8115	1745
823	8131	1736
824	8148	1728
825	8159	1718
826	8170	1709
827	8181	1699
828	8191	1689
